API_Number,Well_Name,Operator,County,Date,Formation,Oil_Prod_BBL,Gas_Prod_MCF,Water_Prod_BBL,BHP_PSI,GOR,Choke_Size
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-01-01,Avalon Shale,62330.14,229062.09,31587.27,4500.0,3675.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-01-31,Avalon Shale,54968.53,204028.39,27995.89,4411.0,3712.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-03-02,Avalon Shale,48144.78,180469.79,24642.49,4324.0,3748.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-04-01,Avalon Shale,43395.51,164262.01,22321.58,4238.0,3785.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-05-01,Avalon Shale,39507.88,150998.33,20421.98,4154.0,3822.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-05-31,Avalon Shale,34761.12,134133.79,18056.42,4072.0,3859.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-06-30,Avalon Shale,32126.29,125147.32,16769.18,3991.0,3895.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-07-30,Avalon Shale,29726.45,116891.25,15591.85,3912.0,3932.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-08-29,Avalon Shale,27958.01,110964.77,14735.12,3835.0,3969.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-09-28,Avalon Shale,26086.55,104495.65,13814.87,3759.0,4006.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-10-28,Avalon Shale,24006.23,97044.71,12774.01,3684.0,4042.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-11-27,Avalon Shale,22501.3,91787.95,12030.23,3611.0,4079.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2019-12-27,Avalon Shale,21615.55,88969.15,11611.44,3540.0,4116.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-01-26,Avalon Shale,20291.26,84264.09,10951.48,3470.0,4153.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-02-25,Avalon Shale,18994.16,79575.63,10299.54,3401.0,4189.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-03-26,Avalon Shale,18172.49,76801.09,9900.04,3334.0,4226.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-04-25,Avalon Shale,17057.92,72717.53,9336.06,3268.0,4263.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-05-25,Avalon Shale,16593.09,71345.76,9123.7,3203.0,4300.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-06-24,Avalon Shale,15322.07,66443.8,8463.65,3140.0,4336.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-07-24,Avalon Shale,14917.46,65237.46,8277.96,3077.0,4373.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-08-23,Avalon Shale,14566.0,64235.72,8119.83,3016.0,4410.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-09-22,Avalon Shale,13354.54,59383.98,7478.34,2957.0,4447.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-10-22,Avalon Shale,12850.38,57614.38,7228.58,2898.0,4483.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-11-21,Avalon Shale,12809.77,57903.05,7238.19,2841.0,4520.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2020-12-21,Avalon Shale,11968.1,54538.37,6792.93,2785.0,4557.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-01-20,Avalon Shale,11448.33,52590.5,6526.93,2729.0,4594.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-02-19,Avalon Shale,11033.05,51088.27,6318.12,2675.0,4630.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-03-21,Avalon Shale,10949.75,51104.95,6298.16,2622.0,4667.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-04-20,Avalon Shale,10469.27,49247.21,6048.33,2570.0,4704.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-05-20,Avalon Shale,10168.91,48208.01,5900.57,2520.0,4741.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-06-19,Avalon Shale,9931.73,47448.59,5788.11,2470.0,4777.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-07-19,Avalon Shale,9493.75,45705.07,5556.92,2421.0,4814.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-08-18,Avalon Shale,9514.77,46155.92,5593.33,2373.0,4851.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-09-17,Avalon Shale,9241.04,45167.68,5455.83,2326.0,4888.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-10-17,Avalon Shale,8734.84,43014.49,5179.11,2280.0,4924.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-11-16,Avalon Shale,8632.65,42828.49,5140.39,2235.0,4961.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2021-12-16,Avalon Shale,8129.56,40631.33,4861.42,2190.0,4998.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-01-15,Avalon Shale,8244.64,41509.47,4951.13,2147.0,5035.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-02-14,Avalon Shale,7854.46,39833.68,4736.72,2104.0,5071.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-03-16,Avalon Shale,7743.73,39556.69,4689.56,2063.0,5108.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-04-15,Avalon Shale,7398.72,38066.24,4499.37,2022.0,5145.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-05-15,Avalon Shale,7321.53,37938.15,4470.98,1982.0,5182.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-06-14,Avalon Shale,7116.77,37138.68,4363.98,1943.0,5218.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-07-14,Avalon Shale,6926.95,36402.69,4265.13,1904.0,5255.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-08-13,Avalon Shale,6650.42,35193.84,4111.71,1867.0,5292.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-09-12,Avalon Shale,6609.11,35218.14,4102.92,1830.0,5329.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-10-12,Avalon Shale,6339.87,34016.4,3951.84,1793.0,5365.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-11-11,Avalon Shale,6356.82,34340.95,3978.51,1758.0,5402.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2022-12-11,Avalon Shale,6193.52,33686.36,3892.0,1723.0,5439.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-01-10,Avalon Shale,6024.39,32987.89,3800.99,1689.0,5476.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-02-09,Avalon Shale,5856.86,32285.79,3710.13,1655.0,5512.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-03-11,Avalon Shale,5925.45,32881.66,3768.59,1623.0,5549.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-04-10,Avalon Shale,5592.1,31237.32,3570.75,1591.0,5586.0,48
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-05-10,Avalon Shale,5609.25,31539.26,3595.92,1559.0,5623.0,64
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-06-09,Avalon Shale,5341.08,30227.69,3437.53,1528.0,5659.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-07-09,Avalon Shale,5440.4,30989.73,3515.24,1498.0,5696.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-08-08,Avalon Shale,5275.04,30241.63,3421.76,1468.0,5733.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-09-07,Avalon Shale,5197.79,29989.82,3384.83,1439.0,5770.0,24
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-10-07,Avalon Shale,5119.76,29727.75,3346.98,1411.0,5806.0,32
42-482-19695,REEVES_UNIT_100H,Occidental,Reeves,2023-11-06,Avalon Shale,4909.94,28689.88,3222.26,1383.0,5843.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-01-01,Wolfcamp A,36017.08,116929.45,14488.92,4500.0,3247.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-01-31,Wolfcamp A,29199.04,95742.63,11804.9,4411.0,3279.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-03-02,Wolfcamp A,24803.36,82134.6,10077.66,4324.0,3311.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-04-01,Wolfcamp A,20867.4,69778.38,8520.44,4238.0,3344.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-05-01,Wolfcamp A,18765.52,63359.17,7699.96,4154.0,3376.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-05-31,Wolfcamp A,16502.38,56253.73,6804.53,4072.0,3409.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-06-30,Wolfcamp A,14780.17,50862.87,6124.13,3991.0,3441.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-07-30,Wolfcamp A,13166.72,45737.95,5482.08,3912.0,3474.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-08-29,Wolfcamp A,11978.39,41998.88,5011.41,3835.0,3506.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-09-28,Wolfcamp A,10862.03,38437.29,4566.2,3759.0,3539.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-10-28,Wolfcamp A,10184.8,36371.45,4301.99,3684.0,3571.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-11-27,Wolfcamp A,9307.6,33541.0,3950.19,3611.0,3604.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2019-12-27,Wolfcamp A,8600.72,31272.89,3667.48,3540.0,3636.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-01-26,Wolfcamp A,8433.68,30939.35,3613.22,3470.0,3669.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-02-25,Wolfcamp A,7607.7,28156.17,3274.65,3401.0,3701.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-03-26,Wolfcamp A,7252.72,27077.85,3136.44,3334.0,3733.0,32
